Altitude,Hardness,Gradient,Caddis,Stonefly,Mayfly,OtherInv,Br_Dens,LogCadd,LogStone,LogMay,LogOther,LogBrD
259,12.2,10.9,9,188,0,3,3.6,2.302585093,5.241747015,0,1.386294361,1.526056303
198,22,14.7,17,76,29,4,4.3,2.890371758,4.343805422,3.401197382,1.609437912,1.667706821
251,26.3,6.9,43,186,338,3,3.8,3.784189634,5.231108617,5.826000107,1.386294361,1.568615918
184,22.5,4.6,82,188,313,3,3.4,4.418840608,5.241747015,5.749392986,1.386294361,1.481604541
145,29.5,1.91,24,45,246,2,3.8,3.218875825,3.828641396,5.509388337,1.098612289,1.568615918
145,39.9,5,50,133,313,20,4.5,3.931825633,4.8978398,5.749392986,3.044522438,1.704748092
198,42.8,6.2,38,77,214,3,4.3,3.663561646,4.356708827,5.370638028,1.386294361,1.667706821
160,59.6,14.3,83,564,0,18,5,4.430816799,6.336825731,0,2.944438979,1.791759469
251,69.25,4.6,43,223,124,12,4.5,3.784189634,5.411646052,4.828313737,2.564949357,1.704748092
159,68,3.3,85,33,415,31,3.4,4.454347296,3.526360525,6.03068526,3.465735903,1.481604541
160,85.28,15.8,230,76,534,144,4.5,5.442417711,4.343805422,6.282266747,4.976733742,1.704748092
145,84.18,5.9,133,505,484,33,6.9,4.8978398,6.226536669,6.184148891,3.526360525,2.066862759
214,89,5.7,91,92,277,317,3.5,4.521788577,4.532599493,5.627621114,5.762051383,1.504077397
191,103.9,7.6,60,30,705,873,3.6,4.110873864,3.433987204,6.559615237,6.773080376,1.526056303
167,90.9,17.4,52,281,972,130,4.7,3.970291914,5.641907071,6.880384082,4.875197323,1.740466175
244,95.1,6.1,37,165,523,29,4,3.63758616,5.111987788,6.261491684,3.401197382,1.609437912
83,153.9,2.88,16,20,364,338,2.9,2.833213344,3.044522438,5.899897354,5.826000107,1.360976553
175,150.5,12.8,35,325,273,2,6.4,3.583518938,5.786897381,5.613128106,1.098612289,2.00148
107,15.5,4.9,48,120,431,71,4,3.891820298,4.795790546,6.068425588,4.276666119,1.609437912
305,115.8,26.2,254,520,520,24,8.46,5.541263545,6.255750042,6.255750042,3.218875825,2.247072383
152,130.7,8.5,224,166,742,733,5,5.416100402,5.117993812,6.610696045,6.598509029,1.791759469
277,90,19,383,889,696,14,8,5.950642553,6.791221463,6.546785411,2.708050201,2.197224577
