"Girth","Weight"
64,21
70,27
74,27.5
78,29.5
74,30
73,30
73,30
77,33
80,35.5
90,36
82,36
89,41
72,42
86,42.5
83,45
81,46.5
81,46.5
80,49
94,52.5
92,53
85,55.5
97,58
85,58.5
93,60
93,61
95,62
100,63
96,63.5
99,64
110,64
98,64
100,64.5
97,65
84,65
84,65
94,68
93,69.5
100,70
102,70
100,71
99,71
99,72.5
103,73
108,73
100,75.5
101,76.5
99,78
121,79
101,79
102,79
100,79
102,80
109,81.5
97,81.5
100,81.5
113,82
122,82.5
105,84
110,84.5
110,85.5
107,85.5
95,86
107,86
102,86
114,86
106,87
108,90
110,90
113,90.5
113,92.5
113,92.5
108,93
109,93.5
106,94
107,94
113,94.5
108,94.5
116,95.5
109,95.5
99,96
103,96
118,96
102,96
99,96.5
121,96.5
113,97
115,97.5
115,97.5
114,98
113,98.5
108,98.5
108,99
114,99
117,99
115,99
105,99
117,99.6
109,100
113,100
108,100.5
113,101.5
131,102.5
104,102.5
115,103
117,103.5
112,104
118,104
107,105
111,105
120,105
123,106.5
118,106.5
114,107
125,108
110,108
114,108
110,109.5
115,110
118,110
113,110.5
114,110.5
119,111
115,111
117,112
115,112.5
114,113
126,114
120,114.5
119,114.5
119,114.5
116,115
114,115
113,115.5
121,115.5
126,116
126,116
118,116
114,117
118,117
118,117.5
125,118
127,118.5
123,119
120,120
124,121
116,121
114,122
115,122
127,122
128,122
124,122
118,124.5
121,125
126,125.5
126,126
122,126
127,126.5
131,127
120,127
126,127
118,128
127,128.5
121,129.5
134,130
134,130
124,131
131,131
122,131.5
120,132
125,133.5
127,133.5
127,133.5
123,134
114,134.5
123,135
131,135.5
120,135.5
146,136
125,136
112,137
118,137
129,137.5
129,138
124,139.5
130,139.5
122,140
125,140
138,141
126,141.5
128,142
132,142
134,142
124,142
131,142
134,142
127,142.5
125,142.5
130,142.5
126,143
129,143
122,143
126,144
125,144
121,144
110,144.5
124,144.5
130,145
123,145.5
134,146
130,146
126,146
131,146.5
147,147
132,147
130,148
127,148
135,149
137,149
132,149
125,149
128,149
138,149.5
129,149.5
133,150
126,150
126,150
137,150
128,150
142,150.5
128,151
130,151
119,151
123,151
125,151
131,151.5
131,151.5
138,152
135,152
124,152
130,152
123,152.5
128,153
133,153.5
126,153.5
122,154.5
123,155
135,156
133,156
130,157
134,157.5
129,157.5
127,158
131,158
132,160
130,160.5
137,160.5
142,161
125,161
129,162.5
136,162.5
129,162.5
138,163
133,163
125,163
129,163
134,163
132,163.5
128,163.5
127,165
127,165
137,166
135,166
139,166.5
127,167
123,167.5
149,168
138,168
142,168
132,168
142,168.5
129,169
127,169
140,170
131,170
135,170.5
136,171
134,171
134,172
138,172
136,172.5
137,173
130,173
137,173
138,173
135,174
137,175
144,175
148,175
130,176
130,176
147,177
137,177.5
136,177.5
131,177.5
132,178
137,178.5
130,178.5
141,179
140,179.5
139,179.5
134,180
140,182
140,182.5
138,184
150,184
137,184
134,184.5
130,185.5
130,185.5
132,186.5
136,187.5
136,188
134,188
138,189
142,189
143,189
140,189
139,189.5
141,190
134,190
136,191
138,191.5
142,191.5
142,192
149,192
144,192
139,193
139,193
139,193.5
135,193.5
130,193.5
141,193.5
137,194
143,194
142,194.5
130,195
141,195
146,196
149,196
140,196.5
144,196.5
142,196.5
138,197.5
135,197.5
127,198
146,199
141,199
136,199.5
137,200
139,200
136,200
135,201
135,201
137,201
142,201
140,202
141,202
152,202
135,203
138,204
142,204
148,204
143,205
139,205
140,206
135,206
142,206
142,206
140,206
140,206
150,206
140,207
148,207
148,207
139,208
141,208
142,208
137,208
148,209
136,210
136,210
156,211
140,211
146,211.5
158,211.5
139,211.5
151,212
145,212
140,212
150,212
148,212
143,213
158,213.5
138,214
136,215
143,216
139,216
141,217
153,217
139,217
139,217
139,217
149,218
152,218
155,219
139,220
138,220
140,220
142,221
140,221
143,221
142,221
150,221
148,223
142,223.5
141,224
148,224
157,224
149,226
150,226
160,226
151,226
162,226.5
142,227
147,227
142,227
140,228
146,228
142,230
142,231
146,231
152,232
148,232
155,234
144,235
145,238
145,238
158,238
149,239
155,239
145,240
155,241
143,243
155,244
145,244
148,244
154,245
151,246
138,246
149,246.5
163,247
149,247
177,247
150,249
157,250
149,252
149,253
148,254
145,255
148,256
155,257
162,262
154,264
157,266
150,267
154,267.5
162,275
161,281
168,282
158,284
162,286
170,288
153,288
152,300
155,303
171,303
170,314
174,320
169,322.5
173,325
174,327
175,334
177,339
189,347
170,367
170,367
187,396
191,401
185,420
195,469
